Source,Target,weight
User_2,User_1,1
User_3,User_1,1
User_4,User_1,1
User_5,User_1,2
User_6,User_1,1
User_7,User_1,1
User_8,User_1,1
User_9,User_1,1
User_10,User_1,1
User_11,User_1,1
User_12,User_1,2
User_13,User_1,1
User_14,User_1,1
User_15,User_1,1
User_16,User_1,1
User_17,User_1,1
User_18,User_1,1
User_19,User_1,1
User_20,User_1,1
User_21,User_1,1
User_22,User_1,1
User_23,User_1,1
User_24,User_1,1
User_25,User_1,2
User_26,User_1,1
User_27,User_1,2
User_28,User_1,1
User_29,User_1,1
User_30,User_1,1
User_31,User_1,1
User_32,User_1,1
User_33,User_1,1
User_34,User_1,2
User_35,User_1,1
User_36,User_1,1
User_37,User_1,2
User_38,User_1,1
User_39,User_1,1
User_40,User_1,1
User_41,User_1,2
User_42,User_1,1
User_43,User_1,1
User_44,User_1,1
User_45,User_1,1
User_46,User_1,1
User_47,User_1,1
User_48,User_1,2
User_49,User_1,1
User_50,User_1,1
User_51,User_1,1
User_52,User_1,2
User_53,User_1,2
User_54,User_1,1
User_55,User_1,1
User_56,User_1,1
User_57,User_1,1
User_58,User_1,1
User_59,User_1,1
User_60,User_1,1
User_62,User_61,1
User_63,User_61,1
User_64,User_61,1
User_65,User_61,1
User_66,User_61,1
User_67,User_61,1
User_68,User_61,2
User_69,User_61,1
User_70,User_61,1
User_71,User_61,1
User_72,User_61,2
User_73,User_61,1
User_74,User_61,1
User_75,User_61,1
User_76,User_61,2
User_77,User_61,1
User_78,User_61,1
User_79,User_61,1
User_80,User_61,1
User_81,User_61,1
User_82,User_61,2
User_83,User_61,1
User_84,User_61,1
User_85,User_61,1
User_86,User_61,1
User_87,User_61,1
User_88,User_61,1
User_89,User_61,2
User_90,User_61,1
User_91,User_61,2
User_92,User_61,1
User_93,User_61,1
User_94,User_61,1
User_95,User_61,1
User_96,User_61,1
User_97,User_61,1
User_98,User_61,2
User_99,User_61,1
User_100,User_61,1
User_101,User_61,2
User_102,User_61,1
User_103,User_61,1
User_104,User_61,1
User_105,User_61,1
User_106,User_61,2
User_107,User_61,1
User_108,User_61,1
User_109,User_61,1
User_110,User_61,1
User_111,User_61,1
User_112,User_61,1
User_113,User_61,1
User_114,User_61,1
User_115,User_61,1
User_116,User_61,2
User_117,User_61,1
User_118,User_61,2
User_119,User_61,2
User_120,User_61,1
User_33,User_27,1
User_24,User_16,1
User_41,User_29,1
User_1,User_35,1
User_58,User_19,1
User_23,User_49,1
User_2,User_32,1
User_36,User_30,1
User_19,User_29,1
User_19,User_45,1
User_40,User_49,1
User_10,User_20,1
User_47,User_30,1
User_20,User_27,1
User_11,User_18,1
User_51,User_10,1
User_18,User_38,1
User_39,User_51,1
User_49,User_46,1
User_50,User_53,1
User_13,User_52,1
User_1,User_19,1
User_22,User_52,1
User_45,User_8,1
User_25,User_13,1
User_42,User_14,1
User_5,User_23,1
User_34,User_58,1
User_22,User_15,1
User_8,User_15,1
User_32,User_27,1
User_13,User_60,1
User_15,User_37,1
User_9,User_36,1
User_6,User_42,1
User_30,User_59,1
User_32,User_52,1
User_20,User_43,1
User_59,User_36,1
User_8,User_21,1
User_58,User_18,1
User_39,User_17,1
User_37,User_26,1
User_5,User_30,1
