Usuario,Libro,Rating
Ana,L1_Historia_Poniente,5
Ana,L2_Alquimia_Elemental,4
Ana,L3_Fuego_Sangre,5
Ana,L4_Secretos_Valyria,4
Ana,L7_Grimorio_Necromantico,1
Bran,L1_Historia_Poniente,4
Bran,L2_Alquimia_Elemental,3
Bran,L3_Fuego_Sangre,4
Bran,L4_Secretos_Valyria,5
Bran,L5_Magia_Hielo,5
Bran,L7_Grimorio_Necromantico,2
Catelyn,L1_Historia_Poniente,5
Catelyn,L2_Alquimia_Elemental,4
Catelyn,L3_Fuego_Sangre,4
Daenerys,L1_Historia_Poniente,4
Daenerys,L3_Fuego_Sangre,5
Daenerys,L4_Secretos_Valyria,5
Daenerys,L8_Cantos_Asshai,4
Eddard,L1_Historia_Poniente,5
Eddard,L2_Alquimia_Elemental,3
Eddard,L3_Fuego_Sangre,4
Eddard,L5_Magia_Hielo,4
Faria,L2_Alquimia_Elemental,5
Faria,L6_Astrologia_Avanzada,4
Gendry,L2_Alquimia_Elemental,4
Gendry,L3_Fuego_Sangre,3
Hodor,L1_Historia_Poniente,3
Hodor,L2_Alquimia_Elemental,2
Jon,L1_Historia_Poniente,4
Jon,L3_Fuego_Sangre,4
Jon,L5_Magia_Hielo,5
Loras,L1_Historia_Poniente,3
Loras,L2_Alquimia_Elemental,4
Loras,L3_Fuego_Sangre,4
Margaery,L1_Historia_Poniente,4
Margaery,L2_Alquimia_Elemental,4
Margaery,L3_Fuego_Sangre,4
Tyrion,L1_Historia_Poniente,5
Tyrion,L2_Alquimia_Elemental,4
Tyrion,L3_Fuego_Sangre,4
Tyrion,L4_Secretos_Valyria,4
