Fecha,Mes,Arribos
2016-01-01,2016-01,67
2016-02-01,2016-02,66
2016-03-01,2016-03,84
2016-04-01,2016-04,101
2016-05-01,2016-05,117
2016-06-01,2016-06,123
2016-07-01,2016-07,135
2016-08-01,2016-08,129
2016-09-01,2016-09,122
2016-10-01,2016-10,102
2016-11-01,2016-11,85
2016-12-01,2016-12,72
2017-01-01,2017-01,69
2017-02-01,2017-02,74
2017-03-01,2017-03,78
2017-04-01,2017-04,112
2017-05-01,2017-05,127
2017-06-01,2017-06,138
2017-07-01,2017-07,139
2017-08-01,2017-08,141
2017-09-01,2017-09,125
2017-10-01,2017-10,108
2017-11-01,2017-11,86
2017-12-01,2017-12,85
2018-01-01,2018-01,75
2018-02-01,2018-02,88
2018-03-01,2018-03,100
2018-04-01,2018-04,111
2018-05-01,2018-05,NA
2018-06-01,2018-06,149
2018-07-01,2018-07,145
2018-08-01,2018-08,144
2018-09-01,2018-09,130
2018-10-01,2018-10,115
2018-11-01,2018-11,97
2018-12-01,2018-12,89
2019-01-01,2019-01,82
2019-02-01,2019-02,81
2019-03-01,2019-03,100
2019-04-01,2019-04,113
2019-05-01,2019-05,129
2019-06-01,2019-06,150
2019-07-01,2019-07,147
2019-08-01,2019-08,149
2019-09-01,2019-09,132
2019-10-01,2019-10,124
2019-11-01,2019-11,104
2019-12-01,2019-12,87
2020-01-01,2020-01,88
2020-02-01,2020-02,91
2020-03-01,2020-03,98
2020-04-01,2020-04,120
2020-05-01,2020-05,135
2020-06-01,2020-06,154
2020-07-01,2020-07,154
2020-08-01,2020-08,152
2020-09-01,2020-09,135
2020-10-01,2020-10,119
2020-11-01,2020-11,107
2020-12-01,2020-12,90
2021-01-01,2021-01,89
2021-02-01,2021-02,95
2021-03-01,2021-03,107
2021-04-01,2021-04,124
2021-05-01,2021-05,137
2021-06-01,2021-06,156
2021-07-01,2021-07,155
2021-08-01,2021-08,162
2021-09-01,2021-09,141
2021-10-01,2021-10,129
2021-11-01,2021-11,113
2021-12-01,2021-12,99
2022-01-01,2022-01,100
2022-02-01,2022-02,96
2022-03-01,2022-03,114
2022-04-01,2022-04,126
2022-05-01,2022-05,157
2022-06-01,2022-06,164
2022-07-01,2022-07,165
2022-08-01,2022-08,165
2022-09-01,2022-09,145
2022-10-01,2022-10,NA
2022-11-01,2022-11,111
2022-12-01,2022-12,97
2023-01-01,2023-01,99
2023-02-01,2023-02,107
2023-03-01,2023-03,117
2023-04-01,2023-04,132
2023-05-01,2023-05,158
2023-06-01,2023-06,176
2023-07-01,2023-07,164
2023-08-01,2023-08,173
2023-09-01,2023-09,153
2023-10-01,2023-10,142
2023-11-01,2023-11,113
2023-12-01,2023-12,107
2024-01-01,2024-01,100
2024-02-01,2024-02,107
2024-03-01,2024-03,118
2024-04-01,2024-04,141
2024-05-01,2024-05,163
2024-06-01,2024-06,169
2024-07-01,2024-07,175
2024-08-01,2024-08,167
2024-09-01,2024-09,163
2024-10-01,2024-10,145
2024-11-01,2024-11,119
2024-12-01,2024-12,119
2025-01-01,2025-01,104
2025-02-01,2025-02,109
2025-03-01,2025-03,121
2025-04-01,2025-04,140
2025-05-01,2025-05,161
2025-06-01,2025-06,178
2025-07-01,2025-07,178
2025-08-01,2025-08,176
2025-09-01,2025-09,163
2025-10-01,2025-10,152
2025-11-01,2025-11,139
2025-12-01,2025-12,113
