fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2017-10-26,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"19,2","0,0","12,6",06:40,"25,7",11:20,29,"2,8","7,2",Varias,"9,8","1026,8",22,"1024,2",15
2017-10-27,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"19,1","0,0","12,6",07:10,"25,6",12:30,27,"2,8","6,7",06:10,"9,5","1026,7",09,"1021,9",11
2017-10-28,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"17,4","0,0","11,6",06:30,"23,1",14:00,10,"1,9","7,2",10:00,"8,3","1023,7",10,"1020,5",Varias
2017-10-29,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"19,8","0,0","15,1",07:10,"24,4",14:40,08,"2,8","6,7",12:10,"9,1","1022,1",00,"1017,1",24
2017-10-30,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"17,9","0,0","12,5",07:20,"23,3",12:40,29,"2,5","6,1",06:40,"9,4","1017,2",24,"1014,1",15
2017-10-31,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"18,1","0,0","13,0",05:40,"23,2",14:30,05,"2,8","6,7",10:40,"4,8","1020,6",22,"1016,9",01
2017-11-01,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"19,6","0,0","15,5",06:10,"23,7",13:30,07,"2,2","12,5",10:20,"8,7","1021,4",10,"1018,4",16
2017-11-02,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"20,3","0,0","17,7",20:10,"22,9",13:00,99,"1,4","7,2",Varias,"4,1","1019,3",00,"1015,7",24
2017-11-03,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"19,8","7,8","16,3",22:10,"23,3",12:30,29,"3,3","10,8",20:20,"0,8","1015,9",01,"1012,0",17
2017-11-04,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"18,8","3,4","15,6",02:50,"22,1",16:00,01,"1,7","6,1",11:00,"4,1","1017,8",24,"1012,3",04
2017-11-05,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"18,8","0,0","15,0",04:40,"22,7",13:50,99,"6,7","12,5",Varias,"9,2","1020,4",09,"1017,6",01
2017-11-06,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"17,2","0,0","12,6",23:59,"21,8",13:10,26,"3,1","11,7",00:40,"7,3","1021,3",10,"1017,5",20
2017-11-07,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"14,8","0,0","8,6",06:30,"21,1",12:40,30,"3,1","7,2",08:40,"9,1","1019,6",23,"1016,8",15
2017-11-08,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"14,3","0,0","7,7",07:00,"20,9",14:30,30,"3,3","7,2",06:40,"9,1","1021,4",10,"1018,1",17
2017-11-09,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"16,9","0,0","12,7",22:40,"21,1",13:40,29,"2,8","9,7",07:40,"9,0","1025,0",24,"1018,8",01
2017-11-10,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"15,4","0,0","9,5",03:10,"21,3",14:40,28,"4,7","13,3",06:40,"9,1","1028,0",22,"1024,0",Varias
2017-11-11,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"16,2","0,0","8,1",03:20,"24,4",14:20,29,"5,3","11,7",08:40,"9,0","1027,6",00,"1021,5",15
2017-11-12,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"17,2","0,0","8,8",04:00,"25,6",13:20,28,"4,4","12,8",20:20,"8,3","1023,5",00,"1016,8",16
2017-11-13,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"19,3","0,0","13,4",23:59,"25,2",13:50,29,"7,5","13,3",15:30,"8,8","1017,1",00,"1012,3",15
2017-11-14,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"15,2","0,0","10,6",07:40,"19,7",14:00,07,"3,6","10,3",12:00,"6,5","1019,2",24,"1015,8",03
2017-11-15,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"15,8","0,0","11,7",23:59,"20,0",13:20,09,"2,5","8,3",01:00,"8,5","1020,8",09,"1017,7",Varias
2017-11-16,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"13,6","0,0","8,0",06:10,"19,2",12:10,28,"3,3","6,7",06:40,"8,5","1020,8",23,"1017,9",15
2017-11-17,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"13,6","0,0","7,9",06:00,"19,4",13:30,29,"2,8","6,1",07:10,"8,1","1021,2",Varias,"1018,1",16
2017-11-18,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"13,4","0,0","7,3",06:10,"19,4",14:00,99,"2,8","6,1",Varias,"8,3","1020,3",09,"1017,9",15
2017-11-19,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"14,3","0,0","8,7",06:00,"19,9",12:40,07,,"9,7",11:40,"8,3","1022,4",Varias,"1019,7",05
2017-11-20,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"14,2","0,0","7,6",07:10,"20,9",14:10,29,"2,2","7,8",04:00,"8,5","1023,7",10,"1021,3",15
2017-11-21,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"13,2","0,0","6,1",05:20,"20,4",13:10,29,"2,5","7,2",Varias,"8,4","1022,6",00,"1019,0",Varias
2017-11-22,6155A,MÁLAGA AEROPUERTO,MALAGA,5,"13,0","0,0","5,5",05:10,"20,5",13:30,28,"2,5","7,2",03:10,"8,4","1019,4",00,"1014,7",16
